,Year_Birth,Education,Age,Age_Group,Income,IncomeClass,FamilySize,Dt_Customer,Recency,Day_Joined,Month_Joined,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,T_AmountSpent,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,T_NPurchase,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,T_AcceptedCmpgn
11,1976,Basic,38,Young Adults,7500.0,Poor,2,2012-11-13,59,Tuesday,November,6.0,16.0,11.0,11.0,1.0,16.0,61.0,1,2,0,3,8,6,0,0,0,0,0,0
12,1959,Undergraduate,55,Middle-aged,63033.0,Middle,1,2013-11-15,82,Friday,November,194.0,61.0,480.0,225.0,112.0,30.0,1102.0,1,3,4,8,2,16,0,0,0,0,0,0
13,1952,Postgraduate,62,Old,59354.0,Middle,3,2013-11-15,53,Friday,November,233.0,2.0,53.0,3.0,5.0,14.0,310.0,3,6,1,5,6,15,0,0,0,0,0,0
14,1987,Undergraduate,27,Young Adults,17323.0,Poor,2,2012-10-10,38,Wednesday,October,3.0,14.0,17.0,6.0,1.0,5.0,46.0,1,1,0,3,8,5,0,0,0,0,0,0
15,1946,Postgraduate,68,Old,82800.0,Middle,1,2012-11-24,23,Saturday,November,1006.0,22.0,115.0,59.0,68.0,45.0,1315.0,1,7,6,12,3,26,0,0,1,1,0,2
16,1980,Undergraduate,34,Young Adults,41850.0,Lower Middle,4,2012-12-24,51,Monday,December,53.0,5.0,19.0,2.0,13.0,4.0,96.0,3,3,0,3,8,9,0,0,0,0,0,0
17,1946,Undergraduate,68,Old,37760.0,Lower Middle,2,2012-08-31,20,Friday,August,84.0,5.0,38.0,150.0,12.0,28.0,317.0,2,4,1,6,7,13,0,0,0,0,0,0
18,1949,Postgraduate,65,Old,76995.0,Middle,3,2013-03-28,91,Thursday,March,1012.0,80.0,498.0,0.0,16.0,176.0,1782.0,2,11,4,9,5,26,0,0,0,1,0,1
19,1985,Postgraduate,29,Young Adults,33812.0,Lower Middle,2,2012-11-03,86,Saturday,November,4.0,17.0,19.0,30.0,24.0,39.0,133.0,2,2,1,3,6,8,0,0,0,0,0,0
20,1982,Undergraduate,32,Young Adults,37040.0,Lower Middle,2,2012-08-08,41,Wednesday,August,86.0,2.0,73.0,69.0,38.0,48.0,316.0,1,4,2,5,8,12,0,0,0,0,0,0
21,1979,Undergraduate,35,Young Adults,2447.0,Poor,3,2013-01-06,42,Sunday,January,1.0,1.0,1725.0,1.0,1.0,1.0,1730.0,15,0,28,0,1,43,0,0,0,0,0,0
22,1949,Postgraduate,65,Old,58607.0,Middle,3,2012-12-23,63,Sunday,December,867.0,0.0,86.0,0.0,0.0,19.0,972.0,3,2,3,9,8,17,0,1,0,0,0,1
23,1954,Postgraduate,60,Old,65324.0,Middle,3,2014-01-11,0,Saturday,January,384.0,0.0,102.0,21.0,32.0,5.0,544.0,3,6,2,9,4,20,0,0,0,0,0,0
24,1951,Undergraduate,63,Old,40689.0,Lower Middle,3,2013-03-18,69,Monday,March,270.0,3.0,27.0,39.0,6.0,99.0,444.0,7,7,1,5,8,20,0,0,0,0,0,0
25,1969,Undergraduate,45,Middle-aged,18589.0,Poor,1,2013-01-02,89,Wednesday,January,6.0,4.0,25.0,15.0,12.0,13.0,75.0,2,2,1,3,7,8,0,0,0,0,0,0
26,1976,Undergraduate,38,Young Adults,53359.0,Middle,4,2013-05-27,4,Monday,May,173.0,4.0,30.0,3.0,6.0,41.0,257.0,4,5,1,4,7,14,0,0,0,0,0,0
27,1986,Undergraduate,28,Young Adults,52563.593842281465,Middle,2,2013-02-20,19,Wednesday,February,5.0,1.0,3.0,3.0,263.0,362.0,637.0,0,27,0,0,1,27,0,0,0,0,0,0
28,1989,Undergraduate,25,Young Adults,38360.0,Lower Middle,3,2013-05-31,26,Friday,May,36.0,2.0,42.0,20.0,21.0,10.0,131.0,2,2,1,4,3,9,0,0,0,0,0,0
29,1965,Postgraduate,49,Middle-aged,84618.0,Middle,2,2013-11-22,96,Friday,November,684.0,100.0,801.0,21.0,66.0,0.0,1672.0,1,6,9,10,2,26,0,0,1,0,0,1
30,1989,Postgraduate,25,Young Adults,10979.0,Poor,1,2014-05-22,34,Thursday,May,8.0,4.0,10.0,2.0,2.0,4.0,30.0,2,3,0,3,5,8,0,0,0,0,0,0
31,1963,Postgraduate,51,Middle-aged,38620.0,Lower Middle,2,2013-05-11,56,Saturday,May,112.0,17.0,44.0,34.0,22.0,89.0,318.0,1,2,5,3,3,11,0,0,0,0,0,0
32,1970,Undergraduate,44,Middle-aged,40548.0,Lower Middle,3,2012-10-10,31,Wednesday,October,110.0,0.0,5.0,2.0,0.0,3.0,120.0,2,2,1,4,5,9,0,1,0,0,0,1
33,1952,Postgraduate,62,Old,46610.0,Lower Middle,3,2012-10-29,8,Monday,October,96.0,12.0,96.0,33.0,22.0,43.0,302.0,6,4,1,6,6,17,0,0,0,0,0,0
34,1946,Postgraduate,68,Old,68657.0,Middle,2,2013-02-20,4,Wednesday,February,482.0,34.0,471.0,119.0,68.0,22.0,1196.0,1,3,5,9,7,18,0,0,0,0,0,0
35,1951,Postgraduate,63,Old,49389.0,Lower Middle,3,2013-08-29,55,Thursday,August,40.0,0.0,19.0,2.0,1.0,3.0,65.0,1,2,0,3,7,6,0,0,0,0,0,0
36,1970,Postgraduate,44,Middle-aged,67353.0,Middle,3,2013-12-31,37,Tuesday,December,702.0,17.0,151.0,0.0,8.0,35.0,913.0,5,5,6,12,2,28,0,0,0,0,0,0
37,1976,Postgraduate,38,Young Adults,23718.0,Poor,3,2013-09-02,76,Monday,September,6.0,3.0,14.0,15.0,7.0,36.0,81.0,3,3,1,2,7,9,0,0,0,0,0,0
38,1973,Undergraduate,41,Middle-aged,42429.0,Lower Middle,2,2014-02-11,99,Tuesday,February,55.0,0.0,6.0,2.0,0.0,4.0,67.0,2,1,1,3,5,7,0,0,0,0,0,0
39,1943,Postgraduate,71,Old,48948.0,Lower Middle,1,2013-02-01,53,Friday,February,437.0,8.0,206.0,160.0,49.0,42.0,902.0,2,7,10,5,6,24,1,0,0,0,0,1
40,1980,Undergraduate,34,Young Adults,80011.0,Middle,3,2013-04-29,3,Monday,April,421.0,76.0,536.0,82.0,178.0,102.0,1395.0,2,8,6,5,4,21,0,0,0,0,0,0
41,1985,Postgraduate,29,Young Adults,20559.0,Poor,3,2013-03-12,88,Tuesday,March,13.0,1.0,29.0,3.0,0.0,7.0,53.0,2,2,0,3,8,7,0,0,0,0,0,0
42,1957,Undergraduate,57,Middle-aged,21994.0,Poor,3,2012-12-24,4,Monday,December,9.0,0.0,6.0,3.0,1.0,3.0,22.0,1,0,0,3,5,4,0,0,0,0,0,0
43,1959,Postgraduate,55,Middle-aged,40237.05824899164,Lower Middle,1,2013-11-05,80,Tuesday,November,81.0,11.0,50.0,3.0,2.0,39.0,186.0,1,1,3,4,2,9,0,0,0,0,0,0
44,1975,Postgraduate,39,Young Adults,7500.0,Poor,3,2013-10-02,19,Wednesday,October,3.0,1.0,10.0,3.0,2.0,12.0,31.0,3,2,0,3,5,8,0,0,0,0,0,0
45,1976,Undergraduate,38,Young Adults,79941.0,Middle,1,2014-06-28,72,Saturday,June,123.0,164.0,266.0,227.0,30.0,174.0,984.0,1,2,4,9,1,16,0,0,0,0,0,0
46,1996,Postgraduate,18,Young Adults,7500.0,Poor,2,2012-11-09,24,Friday,November,3.0,18.0,14.0,15.0,22.0,50.0,122.0,3,3,1,3,9,10,0,0,0,0,0,0
47,1968,Undergraduate,46,Middle-aged,41728.0,Lower Middle,3,2013-05-24,92,Friday,May,13.0,6.0,15.0,3.0,5.0,13.0,55.0,1,2,0,2,10,5,0,0,0,0,0,0
48,1951,Undergraduate,63,Old,39337.870725856235,Lower Middle,4,2014-01-01,96,Wednesday,January,48.0,5.0,48.0,6.0,10.0,7.0,124.0,3,2,1,4,6,10,0,0,0,0,0,0
49,1954,Postgraduate,60,Old,72550.0,Middle,4,2012-11-08,39,Thursday,November,826.0,50.0,317.0,50.0,38.0,38.0,1319.0,9,5,2,12,8,28,0,0,0,0,0,0
50,1957,Undergraduate,57,Middle-aged,65486.0,Middle,2,2014-05-12,29,Monday,May,245.0,19.0,125.0,37.0,67.0,14.0,507.0,1,4,2,10,2,17,0,0,0,0,0,0
51,1964,Postgraduate,50,Middle-aged,79143.0,Middle,2,2012-08-11,2,Saturday,August,650.0,37.0,780.0,27.0,167.0,32.0,1693.0,1,6,9,13,3,29,0,0,0,0,0,0
52,1977,Undergraduate,37,Young Adults,35790.0,Lower Middle,2,2013-01-02,54,Wednesday,January,12.0,6.0,20.0,30.0,1.0,3.0,72.0,2,2,0,3,7,7,0,0,0,0,0,0
53,1977,Undergraduate,37,Young Adults,82582.0,Middle,1,2014-06-07,54,Saturday,June,510.0,120.0,550.0,156.0,40.0,241.0,1617.0,1,4,9,7,1,21,1,0,0,1,0,2
54,1978,Undergraduate,36,Young Adults,66373.0,Middle,4,2013-06-12,57,Wednesday,June,328.0,9.0,124.0,12.0,24.0,109.0,606.0,7,4,2,10,3,23,0,0,0,0,0,0
55,1955,Postgraduate,59,Middle-aged,82384.0,Middle,2,2012-11-19,55,Monday,November,984.0,51.0,432.0,180.0,120.0,190.0,1957.0,1,3,10,13,1,27,0,0,1,0,0,1
56,1966,Undergraduate,48,Middle-aged,70287.0,Middle,1,2013-04-02,30,Tuesday,April,295.0,35.0,482.0,121.0,120.0,40.0,1093.0,1,5,5,10,3,21,0,0,0,0,0,0
57,1988,Undergraduate,26,Young Adults,27938.0,Poor,2,2014-04-28,31,Monday,April,13.0,0.0,8.0,2.0,1.0,5.0,29.0,1,1,0,4,3,6,0,0,0,0,0,0
58,1982,Undergraduate,32,Young Adults,37005.431478114966,Lower Middle,2,2013-06-17,57,Monday,June,11.0,3.0,22.0,2.0,2.0,6.0,46.0,2,2,0,3,6,7,0,0,0,0,0,0
59,1968,Postgraduate,46,Middle-aged,55954.0,Middle,3,2014-03-03,63,Monday,March,447.0,0.0,28.0,0.0,0.0,43.0,518.0,3,8,2,6,7,19,0,0,0,0,0,0
60,1982,Postgraduate,32,Young Adults,75777.0,Middle,1,2013-07-04,12,Thursday,July,712.0,26.0,538.0,69.0,13.0,80.0,1438.0,1,3,6,11,1,21,0,1,1,0,0,2
61,1975,Undergraduate,39,Young Adults,66653.0,Middle,4,2012-09-07,18,Friday,September,452.0,18.0,102.0,16.0,18.0,6.0,612.0,4,4,2,12,3,22,0,0,0,0,0,0
62,1952,Undergraduate,62,Old,61823.0,Middle,2,2013-02-18,26,Monday,February,523.0,7.0,134.0,37.0,14.0,169.0,884.0,4,8,2,10,7,24,0,0,0,0,0,0
63,1951,Postgraduate,63,Old,67680.0,Middle,2,2013-06-11,8,Tuesday,June,546.0,0.0,48.0,0.0,6.0,6.0,606.0,1,7,3,8,5,19,0,0,0,0,0,0
64,1948,Undergraduate,66,Old,70666.0,Middle,2,2013-12-06,29,Friday,December,398.0,40.0,367.0,119.0,122.0,30.0,1076.0,1,7,4,4,4,16,0,0,0,0,0,0
65,1971,Undergraduate,43,Middle-aged,25721.0,Poor,3,2013-05-21,75,Tuesday,May,1.0,3.0,6.0,3.0,6.0,15.0,34.0,1,1,1,2,7,5,0,0,0,0,0,0
66,1967,Undergraduate,47,Middle-aged,32474.0,Lower Middle,4,2014-05-11,0,Sunday,May,10.0,0.0,1.0,0.0,0.0,0.0,11.0,1,1,0,2,7,4,0,0,0,0,0,0
67,1979,Postgraduate,35,Young Adults,88194.0,Middle,2,2014-03-19,19,Wednesday,March,688.0,14.0,309.0,201.0,24.0,38.0,1274.0,1,11,10,10,5,32,1,0,0,1,0,2
68,1958,Undergraduate,56,Middle-aged,69096.0,Middle,3,2013-09-27,4,Friday,September,247.0,49.0,159.0,7.0,82.0,109.0,653.0,1,5,2,10,4,18,0,0,0,0,0,0
69,1970,Undergraduate,44,Middle-aged,74854.0,Middle,5,2013-04-08,90,Monday,April,856.0,59.0,487.0,58.0,29.0,73.0,1562.0,7,2,5,5,5,19,0,0,0,0,0,0
70,1954,Postgraduate,60,Old,66991.0,Middle,2,2012-09-11,1,Tuesday,September,496.0,36.0,460.0,189.0,60.0,12.0,1253.0,3,4,8,6,3,21,0,0,0,0,0,0
71,1973,Postgraduate,41,Middle-aged,38573.197403682585,Lower Middle,3,2012-09-14,25,Friday,September,25.0,3.0,43.0,17.0,4.0,17.0,109.0,3,3,0,3,8,9,0,0,0,0,0,0
72,1959,Undergraduate,55,Middle-aged,65031.0,Middle,3,2013-03-17,29,Sunday,March,258.0,107.0,291.0,84.0,37.0,86.0,863.0,4,10,3,13,7,30,0,0,0,0,0,0
73,1975,Postgraduate,39,Young Adults,60631.0,Middle,4,2013-04-05,88,Friday,April,565.0,6.0,65.0,0.0,6.0,19.0,661.0,5,9,2,8,7,24,0,1,0,0,0,1
74,1952,Undergraduate,62,Old,28332.0,Poor,2,2014-04-30,58,Wednesday,April,14.0,10.0,13.0,4.0,15.0,9.0,65.0,1,2,1,4,2,8,0,0,0,0,0,0
75,1977,Undergraduate,37,Young Adults,40246.0,Lower Middle,2,2012-12-19,68,Wednesday,December,2.0,1.0,6.0,2.0,1.0,1.0,13.0,1,1,0,2,6,4,0,0,0,0,0,0
76,1972,Postgraduate,42,Middle-aged,75251.0,Middle,2,2012-08-27,34,Monday,August,721.0,111.0,925.0,97.0,18.0,18.0,1890.0,1,7,6,5,5,19,0,0,0,0,0,0
77,1976,Undergraduate,38,Young Adults,75825.0,Middle,1,2012-10-12,40,Friday,October,1032.0,105.0,779.0,137.0,105.0,51.0,2209.0,0,5,8,9,4,22,1,0,0,0,0,1
78,1976,Postgraduate,38,Young Adults,26326.0,Poor,2,2013-09-04,12,Wednesday,September,1.0,0.0,5.0,0.0,3.0,9.0,18.0,1,0,0,3,3,4,0,0,0,0,0,0
79,1965,Undergraduate,49,Middle-aged,56046.0,Middle,2,2013-01-02,9,Wednesday,January,577.0,0.0,64.0,0.0,0.0,51.0,692.0,2,10,1,8,8,21,1,0,0,0,0,1
80,1985,Undergraduate,29,Young Adults,29760.0,Poor,2,2012-08-29,87,Wednesday,August,64.0,4.0,68.0,7.0,5.0,17.0,165.0,4,3,1,4,8,12,0,0,0,0,0,0
81,1969,Undergraduate,45,Middle-aged,26304.0,Poor,3,2013-06-23,5,Sunday,June,4.0,1.0,5.0,2.0,0.0,4.0,16.0,1,1,0,2,7,4,0,0,0,0,0,0
82,1973,Postgraduate,41,Middle-aged,23559.0,Poor,3,2013-07-03,87,Wednesday,July,25.0,5.0,19.0,7.0,0.0,23.0,79.0,3,3,0,3,7,9,0,0,0,0,0,0
84,1987,Undergraduate,27,Young Adults,81361.0,Middle,1,2014-02-25,18,Tuesday,February,163.0,23.0,424.0,27.0,65.0,76.0,778.0,1,3,10,13,1,27,0,0,0,0,0,0
85,1960,Undergraduate,54,Middle-aged,29440.0,Poor,4,2013-08-11,95,Sunday,August,17.0,8.0,14.0,10.0,4.0,3.0,56.0,2,1,0,4,7,7,0,0,0,0,0,0
86,1970,Postgraduate,44,Middle-aged,36138.0,Lower Middle,4,2013-07-16,48,Tuesday,July,130.0,0.0,16.0,0.0,0.0,5.0,151.0,5,3,1,4,7,13,0,1,0,0,0,1
87,1957,Undergraduate,57,Middle-aged,50388.0,Middle,2,2014-05-28,3,Wednesday,May,292.0,6.0,37.0,0.0,3.0,34.0,372.0,4,6,1,6,7,17,0,1,0,1,0,2
88,1973,Undergraduate,41,Middle-aged,79593.0,Middle,2,2014-05-12,70,Monday,May,350.0,60.0,568.0,110.0,133.0,145.0,1366.0,1,5,6,7,2,19,0,0,1,0,0,1
89,1967,Undergraduate,47,Middle-aged,54178.0,Middle,3,2014-01-21,79,Tuesday,January,135.0,9.0,39.0,4.0,0.0,7.0,194.0,1,2,2,5,2,10,0,0,0,0,0,0
90,1957,Postgraduate,57,Middle-aged,52562.79213791251,Middle,5,2012-11-19,4,Monday,November,230.0,42.0,192.0,49.0,37.0,53.0,603.0,12,7,2,8,9,29,0,0,0,0,0,0
91,1957,Undergraduate,57,Middle-aged,36212.10104906042,Lower Middle,3,2014-05-27,45,Tuesday,May,7.0,0.0,8.0,2.0,0.0,1.0,18.0,1,1,0,2,7,4,0,0,0,0,0,0
92,1973,Postgraduate,41,Middle-aged,63462.30488214625,Middle,2,2013-11-23,87,Saturday,November,445.0,37.0,359.0,98.0,28.0,18.0,985.0,1,2,4,8,1,15,0,0,0,0,0,0
93,1972,Postgraduate,42,Middle-aged,42394.0,Lower Middle,2,2014-03-23,69,Sunday,March,15.0,2.0,10.0,0.0,1.0,4.0,32.0,1,1,0,3,7,5,0,0,0,0,0,0
94,1970,Postgraduate,44,Middle-aged,23626.0,Poor,3,2014-05-24,84,Saturday,May,27.0,2.0,14.0,0.0,0.0,0.0,43.0,3,3,1,3,5,10,0,0,0,0,0,0
95,1983,Undergraduate,31,Young Adults,30096.0,Lower Middle,3,2014-05-22,30,Thursday,May,5.0,3.0,11.0,12.0,5.0,9.0,45.0,1,2,0,3,6,6,0,0,0,0,0,0
96,1960,Undergraduate,54,Middle-aged,47916.0,Lower Middle,2,2012-11-22,72,Thursday,November,505.0,0.0,26.0,0.0,0.0,75.0,606.0,5,7,4,6,6,22,0,1,0,0,0,1
97,1972,Undergraduate,42,Middle-aged,51813.0,Middle,3,2013-04-11,37,Thursday,April,51.0,2.0,7.0,0.0,1.0,2.0,63.0,2,2,0,3,7,7,0,0,0,0,0,0
98,1951,Postgraduate,63,Old,78497.0,Middle,2,2013-12-01,44,Sunday,December,207.0,26.0,447.0,75.0,0.0,223.0,978.0,1,5,7,12,2,25,0,0,0,1,0,1
99,1983,Postgraduate,31,Young Adults,50150.0,Middle,2,2013-06-20,32,Thursday,June,135.0,46.0,92.0,65.0,61.0,11.0,410.0,2,5,2,7,5,16,0,0,0,0,0,0
100,1960,Postgraduate,54,Middle-aged,47823.0,Lower Middle,2,2013-07-23,0,Tuesday,July,53.0,1.0,5.0,2.0,1.0,10.0,72.0,2,2,0,3,8,7,0,0,0,0,0,0
101,1959,Postgraduate,55,Middle-aged,34554.0,Lower Middle,2,2014-03-30,43,Sunday,March,41.0,1.0,6.0,2.0,0.0,5.0,55.0,2,2,0,3,6,7,0,0,0,0,0,0
102,1979,Undergraduate,35,Young Adults,85693.0,Middle,3,2013-04-20,59,Saturday,April,386.0,172.0,183.0,185.0,132.0,111.0,1169.0,2,9,5,11,5,27,0,0,0,0,0,0
103,1945,Postgraduate,69,Old,65846.0,Middle,2,2013-05-17,68,Friday,May,562.0,81.0,276.0,80.0,40.0,81.0,1120.0,1,6,3,6,4,16,0,0,0,0,0,0
104,1959,Undergraduate,55,Middle-aged,87195.0,Middle,2,2014-05-08,35,Thursday,May,217.0,76.0,690.0,50.0,26.0,38.0,1097.0,1,3,11,5,1,20,0,0,0,0,0,0
105,1979,Basic,35,Young Adults,24594.0,Poor,3,2013-12-10,94,Tuesday,December,1.0,3.0,6.0,10.0,0.0,9.0,29.0,1,1,0,3,5,5,0,0,0,0,0,0
106,1964,Undergraduate,50,Middle-aged,49096.0,Lower Middle,4,2013-09-24,15,Tuesday,September,144.0,1.0,32.0,2.0,1.0,7.0,187.0,4,4,1,4,7,13,0,0,0,0,0,0
107,1969,Undergraduate,45,Middle-aged,52413.0,Middle,4,2013-02-02,56,Saturday,February,295.0,106.0,271.0,75.0,98.0,65.0,910.0,4,6,4,12,6,26,0,0,0,0,0,0
108,1978,Undergraduate,36,Young Adults,38557.0,Lower Middle,2,2012-12-19,17,Wednesday,December,76.0,3.0,31.0,4.0,4.0,27.0,145.0,2,3,1,3,7,9,0,0,0,0,0,0
109,1960,Postgraduate,54,Middle-aged,89058.0,Middle,2,2012-12-07,18,Friday,December,454.0,194.0,106.0,31.0,22.0,43.0,850.0,1,5,4,4,2,14,0,0,0,0,0,0
110,1979,Undergraduate,35,Young Adults,77298.0,Middle,3,2013-11-02,46,Saturday,November,425.0,115.0,292.0,23.0,35.0,79.0,969.0,1,6,6,11,3,24,0,0,0,0,0,0
111,1991,Postgraduate,23,Young Adults,68126.0,Middle,1,2012-11-10,40,Saturday,November,1332.0,17.0,311.0,23.0,51.0,86.0,1820.0,1,7,4,5,9,17,0,1,0,0,0,1
112,1963,Postgraduate,51,Middle-aged,57288.0,Middle,3,2014-06-25,27,Wednesday,June,527.0,0.0,21.0,0.0,0.0,60.0,608.0,3,8,1,8,6,20,0,1,0,0,0,1
113,1991,Undergraduate,23,Young Adults,86037.0,Middle,1,2013-01-02,95,Wednesday,January,490.0,44.0,125.0,29.0,20.0,22.0,730.0,1,6,7,11,3,25,0,1,1,0,0,2
114,1980,Postgraduate,34,Young Adults,43974.0,Lower Middle,3,2012-12-12,19,Wednesday,December,378.0,0.0,101.0,0.0,0.0,72.0,551.0,5,6,4,6,7,21,0,0,0,0,0,0
115,1962,Undergraduate,52,Middle-aged,50785.0,Middle,3,2013-09-10,27,Tuesday,September,64.0,1.0,21.0,0.0,1.0,27.0,114.0,2,2,1,3,6,8,0,0,0,0,0,0
116,1970,Undergraduate,44,Middle-aged,90765.0,Middle,2,2014-01-24,25,Friday,January,547.0,99.0,812.0,151.0,82.0,33.0,1724.0,0,4,6,5,1,15,0,0,1,1,0,2
117,1978,Postgraduate,36,Young Adults,36550.0,Lower Middle,3,2013-02-19,74,Tuesday,February,47.0,90.0,94.0,123.0,103.0,120.0,577.0,5,9,1,5,9,20,0,0,0,0,0,0
118,1967,Postgraduate,47,Middle-aged,30753.0,Lower Middle,4,2013-07-11,85,Thursday,July,12.0,5.0,25.0,0.0,9.0,30.0,81.0,2,1,1,3,5,7,0,0,0,0,0,0
119,1969,Undergraduate,45,Middle-aged,21918.0,Poor,3,2013-11-14,37,Thursday,November,1.0,6.0,7.0,11.0,5.0,3.0,33.0,2,2,0,3,6,7,0,0,0,0,0,0
120,1953,Postgraduate,61,Old,56129.0,Middle,3,2013-06-20,65,Thursday,June,320.0,48.0,133.0,39.0,72.0,48.0,660.0,4,6,2,10,4,22,0,0,0,0,0,0
121,1967,Postgraduate,47,Middle-aged,32557.0,Lower Middle,2,2014-02-24,13,Monday,February,34.0,3.0,29.0,0.0,4.0,10.0,80.0,3,2,1,3,5,9,0,0,0,0,0,0
122,1985,Postgraduate,29,Young Adults,19510.0,Poor,4,2013-09-04,63,Wednesday,September,9.0,0.0,7.0,3.0,4.0,7.0,30.0,2,1,0,3,7,6,0,0,0,0,0,0
123,1976,Undergraduate,38,Young Adults,30992.0,Lower Middle,2,2013-04-22,83,Monday,April,17.0,0.0,14.0,7.0,3.0,2.0,43.0,1,1,0,3,7,5,0,0,0,0,0,0
124,1983,Undergraduate,31,Young Adults,101970.0,Upper Middle,1,2013-03-12,69,Tuesday,March,722.0,27.0,102.0,44.0,72.0,168.0,1135.0,0,6,8,13,2,27,0,1,1,1,0,3
125,1965,Postgraduate,49,Middle-aged,71488.0,Middle,2,2013-02-18,87,Monday,February,162.0,33.0,124.0,40.0,28.0,172.0,559.0,2,3,4,7,1,16,0,0,0,0,0,0
126,1984,Undergraduate,30,Young Adults,79607.0,Middle,1,2013-04-21,37,Sunday,April,450.0,133.0,951.0,173.0,0.0,216.0,1923.0,1,3,6,6,1,16,0,0,0,0,0,0
127,1953,Postgraduate,61,Old,54348.0,Middle,4,2014-06-08,51,Sunday,June,70.0,0.0,16.0,0.0,0.0,4.0,90.0,2,2,0,4,6,8,0,0,0,0,0,0
128,1961,Postgraduate,53,Middle-aged,45788.430252071004,Lower Middle,3,2013-07-11,23,Thursday,July,352.0,0.0,27.0,10.0,0.0,15.0,404.0,3,6,1,7,6,17,0,0,0,0,0,0
129,1956,Postgraduate,58,Middle-aged,77376.0,Middle,4,2014-05-10,72,Saturday,May,492.0,19.0,110.0,16.0,12.0,12.0,661.0,4,6,3,10,4,23,0,0,0,0,0,0
130,1952,Undergraduate,62,Old,62998.0,Middle,3,2013-09-30,10,Monday,September,120.0,58.0,73.0,65.0,89.0,58.0,463.0,5,5,4,5,5,19,0,0,0,0,0,0
131,1958,Postgraduate,56,Middle-aged,61331.0,Middle,3,2013-03-10,42,Sunday,March,534.0,5.0,47.0,0.0,5.0,41.0,632.0,5,11,1,6,8,23,0,0,0,0,0,0
132,1969,Undergraduate,45,Middle-aged,73448.0,Middle,2,2014-02-10,10,Monday,February,236.0,106.0,189.0,23.0,41.0,130.0,725.0,1,7,2,9,4,19,0,0,0,0,0,0
133,1963,Undergraduate,51,Middle-aged,55610.72179706524,Middle,3,2013-08-11,96,Sunday,August,231.0,65.0,196.0,38.0,71.0,124.0,725.0,1,6,5,7,4,19,0,0,0,0,0,0
134,1964,Postgraduate,50,Middle-aged,41551.0,Lower Middle,4,2013-08-14,51,Wednesday,August,220.0,0.0,33.0,3.0,0.0,23.0,279.0,5,5,1,5,8,16,0,0,0,0,0,0
